len_procotol2path,ip_exist,len_hostname,www_exist,TLD_exist,SLD_decimal,TLD_decimal,len_path,num_directory_max,path_exist_date,path_exist_hex,label
23,0,16,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,6,1,5,0,0,0
30,0,23,0,0,0,0,34,3,16,0,0,0
23,0,16,1,0,0,0,1,0,0,0,0,0
23,0,16,1,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,14,2,9,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
31,0,24,0,1,0,0,1,0,0,0,0,0
20,0,13,1,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
31,0,24,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
26,0,19,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
28,0,21,0,0,0,0,1,0,0,0,0,0
21,0,14,0,0,0,0,7,2,5,0,0,0
22,0,15,1,0,0,0,23,2,13,0,0,0
21,0,14,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,16,1,15,0,0,0
34,0,27,0,0,0,0,8,2,6,0,0,0
22,0,15,0,0,0,0,7,2,5,0,0,0
20,1,13,0,0,0,0,30,7,7,0,1,0
24,0,17,0,0,0,0,14,1,13,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
34,0,27,0,0,0,0,17,2,15,0,0,0
27,0,20,0,0,0,0,23,3,9,0,0,0
20,0,13,0,0,1,0,53,4,21,0,0,0
21,0,14,1,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,25,3,10,0,0,0
23,0,16,1,0,0,0,11,2,8,0,1,0
30,0,23,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,25,3,11,0,0,0
20,0,13,1,0,0,0,10,2,8,0,1,0
24,0,17,0,0,0,0,1,0,0,0,0,0
33,0,26,0,1,0,0,11,1,10,0,0,0
24,0,17,0,0,0,0,13,3,7,0,0,0
22,0,15,0,0,0,0,8,2,6,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,13,3,7,0,1,0
25,0,18,0,0,0,0,13,1,12,0,0,0
20,0,13,0,0,0,0,14,2,12,0,0,0
34,0,27,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
28,0,21,1,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
33,0,26,0,0,0,0,1,0,0,0,0,0
29,0,22,0,0,0,0,1,0,0,0,0,0
26,0,19,1,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
32,0,25,0,0,0,0,1,0,0,0,0,0
26,0,19,0,1,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,25,2,14,0,1,0
26,0,19,0,0,0,0,17,2,15,0,0,0
26,0,19,1,0,0,0,1,0,0,0,0,0
19,0,12,0,0,0,0,1,0,0,0,0,0
19,0,12,0,0,0,0,1,0,0,0,0,0
27,0,20,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
23,0,16,0,0,0,0,1,0,0,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
19,0,12,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,8,2,6,0,0,0
30,0,23,0,0,0,0,1,0,0,0,0,0
20,0,13,0,0,0,0,1,0,0,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
25,0,18,0,0,0,0,1,0,0,0,0,0
18,1,11,1,0,0,0,17,3,9,0,1,0
26,0,19,0,0,0,0,37,2,29,0,1,0
18,1,11,1,0,0,0,17,3,9,0,1,0
32,0,25,0,0,0,0,6,2,4,0,0,0
26,0,19,0,0,0,0,1,0,0,0,0,0
19,0,12,0,0,0,0,1,0,0,0,0,0
25,0,18,1,0,0,0,17,2,15,0,0,0
24,0,17,0,0,0,0,16,3,9,0,0,0
35,0,28,0,0,0,0,14,2,12,0,0,0
27,0,20,1,0,0,0,27,2,25,0,0,0
25,0,18,1,0,0,0,12,1,11,0,0,0
25,0,18,1,0,0,0,17,1,16,0,0,0
27,0,20,0,0,0,0,7,2,5,0,0,0
24,0,17,0,0,0,0,15,3,7,0,0,0
24,0,17,0,0,0,0,1,0,0,0,0,0
22,0,15,0,0,0,0,1,0,0,0,0,0
